time,coherence_L,coherence_S,purity_L,purity_S,entropy_L,entropy_S,coherence_L_noisy,purity_L_noisy,err_coh_L,err_pur_L
0.0,0.4999999999999999,0.4999999999999999,0.9999999999999996,0.9999999999999996,2.763202031665071e-11,2.763202031665071e-11,0.5074507122951684,0.9884475315875101,0.014999999999999996,0.029999999999999985
0.001,0.45241874999999987,0.4999999999999999,0.9093654507031246,0.9999999999999996,0.19133083465553524,2.763202031665071e-11,0.4505421491308351,0.8908983663061519,0.013572562499999996,0.027280963521093736
0.002,0.40936545070312486,0.4999999999999999,0.8351601444587449,0.9999999999999996,0.3040034855045385,2.763202031665071e-11,0.41731969001257,0.8504855741912547,0.012280963521093745,0.025054804333762344
0.003,0.3704092110005887,0.4999999999999999,0.7744059671881571,0.9999999999999996,0.385608072099901,2.763202031665071e-11,0.3873335396238618,0.7983583326598273,0.011112276330017662,0.023232179015644713
0.004,0.3351601444587452,0.4999999999999999,0.7246646448672137,0.9999999999999996,0.4476090204029459,2.763202031665071e-11,0.33280577809181194,0.7449106181709508,0.010054804333762355,0.02173993934601641
0.005,0.30326546721168984,0.4999999999999999,0.6839398872062489,0.9999999999999996,0.49584206478584547,2.763202031665071e-11,0.3011352976024683,0.6667206570610169,0.009097964016350695,0.020518196616187465
0.006,0.2744059671881574,0.4999999999999999,0.650597269656936,0.9999999999999996,0.5338975071213874,2.763202031665071e-11,0.2874063297892146,0.6445620878327479,0.008232179015644723,0.01951791808970808
0.007,0.24829280933561437,0.4999999999999999,0.6232986383355433,0.9999999999999996,0.5642029250091299,2.763202031665071e-11,0.25400926508210714,0.6294929197072694,0.007448784280068431,0.0186989591500663
0.008,0.22466464486721396,0.4999999999999999,0.6009484053066225,0.9999999999999996,0.5884935888388412,2.763202031665071e-11,0.22150041598150408,0.6185359739600874,0.006739939346016419,0.018028452159198675
0.009000000000000001,0.2032849956000377,0.4999999999999999,0.5826495788722145,0.9999999999999996,0.6080551850087054,2.763202031665071e-11,0.2065938250822316,0.5742738588356053,0.006098549868001131,0.017479487366166432
0.01,0.18393988720624913,0.4999999999999999,0.567667764210895,0.9999999999999996,0.6238639355193597,2.763202031665071e-11,0.18138265726188998,0.5645059857252421,0.005518196616187474,0.01703003292632685
0.011,0.16643570768998445,0.4999999999999999,0.5554016895885316,0.9999999999999996,0.6366741368525677,2.763202031665071e-11,0.164110285856152,0.5369678801741167,0.004993071230699533,0.016662050687655947
0.012,0.15059726965693632,0.4999999999999999,0.5453590752562477,0.9999999999999996,0.6470761214686064,2.763202031665071e-11,0.15169043538067137,0.5257882111065267,0.004517918089708089,0.01636077225768743
0.013000000000000001,0.13626605698320812,0.4999999999999999,0.5371368765715017,0.9999999999999996,0.6555363602902962,2.763202031665071e-11,0.12844460233790655,0.5502300040427369,0.004087981709496244,0.016114106297145048
0.014,0.12329863833554358,0.4999999999999999,0.5304051084307981,0.9999999999999996,0.6624261657970787,2.763202031665071e-11,0.11691823773585695,0.5519858076131671,0.0036989591500663074,0.015912153252923944
0.015,0.11156523166493741,0.4999999999999999,0.5248936018329021,0.9999999999999996,0.6680427879913562,2.763202031665071e-11,0.10968327951107518,0.5237596722703604,0.0033469569499481222,0.015746808054987065
0.016,0.1009484053066228,0.4999999999999999,0.5203811610679001,0.9999999999999996,0.6726252473527347,2.763202031665071e-11,0.09788109471334239,0.5360477495051467,0.003028452159198684,0.015611434832037002
0.017,0.09134190268663131,0.4999999999999999,0.5166866863728278,0.9999999999999996,0.6763664173749803,2.763202031665071e-11,0.09220302116483484,0.5222922619564748,0.0027402570805989393,0.015500600591184834
0.018000000000000002,0.08264957887221476,0.4999999999999999,0.5136619057755086,0.9999999999999996,0.6794223687785603,2.763202031665071e-11,0.08039814464878495,0.5037207024973918,0.002479487366166443,0.015409857173265259
0.019,0.07478443832278762,0.4999999999999999,0.5111854244305094,0.9999999999999996,0.6819196738338917,2.763202031665071e-11,0.07161588815142102,0.5167276294101836,0.0022435331496836286,0.015335562732915281
0.02,0.06766776421089535,0.4999999999999999,0.5091578526266024,0.9999999999999996,0.6839611656696831,2.763202031665071e-11,0.07064307947023653,0.5326509544898925,0.0020300329263268605,0.015274735578798071
0.021,0.06122833059917602,0.4999999999999999,0.5074978169359238,0.9999999999999996,0.6856305112244844,2.763202031665071e-11,0.060813613420146566,0.506952367836791,0.0018368499179752804,0.015224934508077713
0.022,0.05540168958853193,0.4999999999999999,0.5061386944185279,0.9999999999999996,0.6869958628553972,2.763202031665071e-11,0.05551392488756966,0.5298964953340459,0.0016620506876559578,0.015184160832555835
0.023,0.050129526303063256,0.4999999999999999,0.5050259388147388,0.9999999999999996,0.6881127876866235,2.763202031665071e-11,0.04798686775278238,0.4653347618952916,0.0015038857890918977,0.015150778164442163
0.024,0.045359075256248,0.4999999999999999,0.5041148914162037,0.9999999999999996,0.6890266263710272,2.763202031665071e-11,0.044618294347149826,0.5165448901686384,0.00136077225768744,0.01512344674248611
0.025,0.0410425922571753,0.4999999999999999,0.5033689887583773,0.9999999999999996,0.6897743982059719,2.763202031665071e-11,0.04117916877582246,0.5046834925997802,0.0012312777677152588,0.015101069662751319
0.026000000000000002,0.03713687657150185,0.4999999999999999,0.5027582952029737,0.9999999999999996,0.690386343680063,2.763202031665071e-11,0.03585454737892215,0.49824844242977234,0.0011141062971450554,0.01508274885608921
0.027,0.033602838554766305,0.4999999999999999,0.5022583015178752,0.9999999999999996,0.6908871759881239,2.763202031665071e-11,0.033981574150440765,0.5036409298709357,0.001008085156642989,0.015067749045536255
0.028,0.030405108430798355,0.4999999999999999,0.501848941237377,0.9999999999999996,0.6912970981057857,2.763202031665071e-11,0.029857233895956937,0.47192516057451356,0.0009121532529239506,0.01505546823712131
0.029,0.027511682299752507,0.4999999999999999,0.5015137853259248,0.9999999999999996,0.6916326304588039,2.763202031665071e-11,0.027270932726558422,0.49820873092595236,0.0008253504689925752,0.015045413559777744
0.03,0.024893601832902307,0.4999999999999999,0.5012393828244299,0.9999999999999996,0.6919072852039039,2.763202031665071e-11,0.024444242488150414,0.5066093493727317,0.0007468080549870692,0.015037181484732896
0.031,0.02252466444847874,0.4999999999999999,0.5010147210170329,0.9999999999999996,0.6921321160444104,2.763202031665071e-11,0.023776322785617775,0.5232281211926001,0.0006757399334543622,0.015030441630510987
0.032,0.02038116106790038,0.4999999999999999,0.5008307834529512,0.9999999999999996,0.6923161668869005,2.763202031665071e-11,0.020372908394559776,0.4930438130692015,0.0006114348320370114,0.015024923503588535
0.033,0.018441638827776313,0.4999999999999999,0.5006801880853081,0.9999999999999996,0.6924668381720473,2.763202031665071e-11,0.017856461139696418,0.4885362862104382,0.0005532491648332894,0.015020405642559242
0.034,0.01668668637282805,0.4999999999999999,0.5005568910042101,0.9999999999999996,0.6925901861337889,2.763202031665071e-11,0.017098452842102988,0.4930221526309259,0.0005006005911848414,0.015016706730126303
0.035,0.0150987395808738,0.4999999999999999,0.5004559438738618,0.9999999999999996,0.6926911673658566,2.763202031665071e-11,0.014545743570677522,0.5141994967990235,0.000452962187426214,0.015013678316215855
0.036000000000000004,0.013661905775508897,0.4999999999999999,0.5003732953388376,0.9999999999999996,0.6927738387574272,2.763202031665071e-11,0.013747510018155568,0.505308243621439,0.0004098571732652669,0.015011198860165127
0.037,0.012361804667147031,0.4999999999999999,0.5003056284292572,0.9999999999999996,0.692841520986827,2.763202031665071e-11,0.011635052888643662,0.4923543680793828,0.0003708541400144109,0.015009168852877714
0.038,0.011185424430509652,0.4999999999999999,0.5002502274393811,0.9999999999999996,0.6928969322451277,2.763202031665071e-11,0.010739734690121334,0.5079530919439466,0.0003355627329152895,0.015007506823181431
0.039,0.010120991478141276,0.4999999999999999,0.500204868937001,0.9999999999999996,0.6929422976302235,2.763202031665071e-11,0.010180764404859509,0.5016616288224519,0.00030362974434423824,0.01500614606811003
0.04,0.009157852626602656,0.4999999999999999,0.5001677325294609,0.9999999999999996,0.6929794386511585,2.763202031665071e-11,0.009360735669880734,0.5147022815856865,0.0002747355787980797,0.015005031975883827
0.041,0.00828636847602358,0.4999999999999999,0.5001373278050406,0.9999999999999996,0.6930098464679051,2.763202031665071e-11,0.008328969097714868,0.4896036390545682,0.0002485910542807074,0.015004119834151218
0.042,0.007497816935923987,0.4999999999999999,0.500112434517609,0.9999999999999996,0.6930347418281168,2.763202031665071e-11,0.0074718036464149545,0.49519639710258073,0.00022493450807771958,0.01500337303552827
0.043000000000000003,0.00678430593175912,0.4999999999999999,0.5000920536139511,0.9999999999999996,0.6930551241211632,2.763202031665071e-11,0.006723022544117291,0.49420934846779213,0.0002035291779527736,0.015002761608418534
0.044,0.006138694418528093,0.4999999999999999,0.5000753671383279,0.9999999999999996,0.6930718115281012,2.763202031665071e-11,0.005866408577829906,0.4781193338883399,0.0001841608325558428,0.015002261014149837
0.045,0.005554520910924914,0.4999999999999999,0.5000617054050995,0.9999999999999996,0.6930854738855972,2.763202031665071e-11,0.005434569219680816,0.5045040577277178,0.0001666356273277474,0.015001851162152986
0.046,0.005025938814739022,0.4999999999999999,0.5000505201219387,0.9999999999999996,0.693096659587211,2.763202031665071e-11,0.004956484546382808,0.5039667448609626,0.00015077816444217064,0.015001515603658162
0.047,0.00454765791228142,0.4999999999999999,0.5000413623849741,0.9999999999999996,0.6931058176046699,2.763202031665071e-11,0.00469188081997081,0.5001180705797539,0.0001364297373684426,0.015001240871549222
0.048,0.004114891416203939,0.4999999999999999,0.500033864662734,0.9999999999999996,0.6931133155149289,2.763202031665071e-11,0.004157309974709818,0.4965148193356822,0.00012344674248611817,0.01500101593988202
0.049,0.0037233080618094315,0.4999999999999999,0.500027726045846,0.9999999999999996,0.6931194542578489,2.763202031665071e-11,0.003526377813096757,0.4787959876360673,0.00011169924185428294,0.01500083178137538
0.05,0.0033689887583774913,0.4999999999999999,0.5000227001705079,0.9999999999999996,0.6931244802176681,2.763202031665071e-11,0.003401743815867334,0.493712733867411,0.00010106966275132473,0.015000681005115236
